RUN	demo.Tc	tc	1674657788336	 	3.7.6
USER	getapicost estimate call	START	1674657792601
USER	getapicost estimate call	START	1674657792596
USER	getapicost estimate call	START	1674657792597
USER	getapicost estimate call	START	1674657792590
USER	getapicost estimate call	START	1674657792571
USER	getapicost estimate call	START	1674657792588
USER	getapicost estimate call	START	1674657792733
USER	getapicost estimate call	START	1674657792603
USER	getapicost estimate call	START	1674657792607
USER	getapicost estimate call	START	1674657792580
REQUEST		get portfolio	1674657792649	1674657810487	OK	 
USER	getapicost estimate call	END	1674657810520
REQUEST		get portfolio	1674657792648	1674657815874	OK	 
REQUEST		get portfolio	1674657792650	1674657815874	OK	 
USER	getapicost estimate call	END	1674657815875
USER	getapicost estimate call	END	1674657815876
REQUEST		get portfolio	1674657792641	1674657815876	OK	 
USER	getapicost estimate call	END	1674657815878
REQUEST		get portfolio	1674657792655	1674657815887	OK	 
USER	getapicost estimate call	END	1674657815889
REQUEST		get portfolio	1674657792642	1674657815894	OK	 
USER	getapicost estimate call	END	1674657815894
REQUEST		get portfolio	1674657792734	1674657815898	OK	 
USER	getapicost estimate call	END	1674657815898
REQUEST		get portfolio	1674657792643	1674657815930	OK	 
USER	getapicost estimate call	END	1674657815931
REQUEST		get portfolio	1674657792651	1674657815936	OK	 
USER	getapicost estimate call	END	1674657815937
REQUEST		get portfolio	1674657792643	1674657816027	OK	 
USER	getapicost estimate call	END	1674657816028
